slug,score,prose,fences,evidence,refs,visual,chars,n_fences,n_refs,title
deployment-canary-blue-green,8,4,2,0,1,1,3924,3,7,"金丝雀不是回滚的替代品：发布策略的流量账本"
distributed-lock-fence-lease,8,5,1,0,1,1,5321,2,9,"分布式锁卖的不是互斥：fencing token 才是真正的租约"
dsh-01-architecture-overview,8,5,2,0,0,1,7361,8,0,"DeepSeek Harness 架构解密（一）：Cordis 微内核与“一切皆插件”哲学"
dsh-02-turn-step-lifecycle,8,5,2,0,0,1,6325,7,0,"DeepSeek Harness 架构解密（二）：Turn 与 Step 双层循环及事件状态机"
dsh-03-session-log-and-projection,8,5,2,0,0,1,5569,5,0,"DeepSeek Harness 架构解密（三）：Append-Only Session Log 与“模型所见必留痕”铁律"
dsh-04-capability-seams-and-sandbox,8,5,2,0,0,1,5005,5,0,"DeepSeek Harness 架构解密（四）：三位一体能力缝隙 (Capability Seams) 与零信任沙箱"
dsh-05-llm-streaming-and-compaction,8,5,2,0,0,1,5452,8,0,"DeepSeek Harness 架构解密（五）：LLM 流式流控、思考链提取与上下文溢出压缩"
dsh-06-plugin-development-and-mcp,8,5,2,0,0,1,6316,6,0,"DeepSeek Harness 架构解密（六）：手把手编写自定义插件与 MCP 协议深度融合"
event-sourcing-cqrs,8,5,2,1,0,0,4108,3,2,"Event Sourcing 与 CQRS：追加日志胜过原地更新"
frontend-framework-taxonomy,8,5,1,0,1,1,6282,2,12,"前端框架真正差在哪：渲染、响应式与状态"
go-context-vs-abortsignal,8,5,1,1,0,1,4820,2,2,"Go context 与 JS AbortSignal：两种取消模型的语义分界"
go-interface-boxing,8,4,1,1,1,1,3823,2,4,"interface 的真相：动态分派 2ns、标量装箱零分配、大对象才付账"
go-mallocgc-allocator,8,4,1,1,1,1,3549,2,3,"mallocgc 解剖：约 12ns 的小对象、约 85ns 的 256B 分配，与约 733ns 的并发大对象"
go-string-byte-conversion,8,5,1,0,1,1,4462,2,4,"string ↔ []byte 的复制边界：编译器优化与 unsafe 都有合同"
iot-netdev-06-firmware-ota-ab-partition-rollback,8,5,1,1,1,0,16112,1,5,"物联网与网络设备云平台架构实战（六）：海量固件批量 OTA 升级与双分区容灾 —— U-Boot 引导计数器、分片断点续传与自动化金丝雀灰度"
iot-netdev-10-zero-trust-device-identity-mtls-tpm,8,5,1,1,1,0,12237,2,5,"物联网与网络设备云平台架构实战（十）：零信任设备身份与安全通信底座 —— 双向 mTLS、TPM 2.0 硬件根信任、EST 自动轮换与非对称指令签名"
iot-netdev-13-lldp-network-topology-graph-engine,8,5,2,1,0,0,11235,3,2,"物联网与网络设备云平台架构实战（十三）：全网物理拓扑自动发现与链路状态图引擎 —— 基于 LLDP 报文与图算法的二三层拓扑重建"
js-ecosystem-layers,8,5,1,0,1,1,7686,2,17,"JavaScript 生态的五层包装：引擎、浏览器、运行时与原生壳"
kafka-rebalance-stop-the-world,8,5,1,0,1,1,8582,2,10,"Kafka 再平衡的税：一次 rebalance 让消费组整组停摆"
kernel-01-packet-rx-tx-ring-buffer-napi,8,5,2,0,0,1,5170,3,2,"Linux 网络收发包物理路径：从网卡 DMA、Ring Buffer、NAPI 轮询到 sk_buff 内存流转"
kernel-04-ebpf-kprobe-tracepoint-observability,8,5,2,0,0,1,5513,3,2,"eBPF 无侵入可观测性实战：Kprobe 动态插桩、Tracepoint 静态埋点与 Off-CPU 溯源"
kernel-05-tc-bbr-qdisc-traffic-shaping,8,5,1,0,1,1,4485,2,3,"Linux 流量控制（TC）与拥塞调度：qdisc 排队规则、HTB 分层令牌桶与 BBR 联动调优"
kernel-06-linux-memory-paging-tlb-hugepages,8,5,2,0,0,1,5104,4,2,"Linux 内存管理深度剖析：从虚拟地址空间、四级页表、TLB 命中到 HugePages 性能陷阱"
kubernetes-graceful-termination,8,5,1,0,1,1,6845,1,9,"Kubernetes 优雅下线为什么难：从 SIGTERM 到流量排空的多层时序"
llm-01-kv-cache-paged-attention,8,5,1,0,1,1,6120,1,3,"大模型显存墙与内存虚拟化：KV Cache 物理开销与 PagedAttention 底层原理"
llm-03-speculative-decoding-inference-speedup,8,5,1,0,1,1,4541,1,3,"投机采样（Speculative Decoding）物理本质：草稿模型推测与大模型并行验证"
llm-07-model-context-protocol-mcp,8,5,2,0,0,1,5357,4,2,"Model Context Protocol (MCP) 深度剖析：架构全景、JSON-RPC 传输层、三大基石与生产网关落地"
llm-10-model-bill-sensitivity,8,4,2,1,0,1,3258,3,1,"同样的 $10/$50，为什么月账单能差 10 倍：模型定价的四个乘数"
llm-hallucination-measurable,8,5,1,1,0,1,4188,1,0,"幻觉是可测量的：先盯三个统计陷阱，再谈模型"
llm-infra-01-3d-parallelism-megatron-deepspeed,8,5,2,0,1,0,10189,8,5,"前沿大模型训练与全栈 Infra 解密（一）：3D 并行拓扑 —— 怎样把千亿模型切开放进万卡 GPU 集群？"
llm-tool-calling-contract,8,5,1,1,0,1,4130,2,2,"给模型写的 API：错误形状决定 Agent 能不能自愈"
lsm-vs-btree-io-amplification,8,5,1,0,1,1,5541,2,8,"LSM 与 B+Tree 的 I/O 战争：先决定哪一种放大可以承受"
mysql-statistics-drift-plan,8,4,2,1,0,1,3660,4,1,"统计过期不改变计划，改变的是坏的执行：InnoDB 持久统计的本机实验"
oract-01-durable-agent-kernel,8,5,2,0,0,1,5418,3,0,"ORACT 架构解密（一）：大模型不确定，但执行系统必须可靠——Go 原生 Durable Agent 内核"
oract-02-reliable-effects-and-outbox,8,5,2,0,0,1,5221,5,0,"ORACT 架构解密（二）：可靠副作用执行与事务性 Outbox 模式"
oract-03-security-boundary-and-bubblewrap,8,5,2,0,0,1,5015,5,0,"ORACT 架构解密（三）：零信任安全边界、Secret 动态脱敏与 Linux Sandbox"
oract-04-journal-projection-and-playback,8,5,2,0,0,1,4849,5,0,"ORACT 架构解密（四）：无副作用 Playback 回放、会话投影与 Fork 分叉"
oract-05-distributed-lease-and-fencing,8,5,2,0,0,1,4229,5,0,"ORACT 架构解密（五）：分布式租约调度、Fencing 纪元栅栏与跨语言 Worker (OEP)"
oract-06-reliability-lab-and-chaos-testing,8,5,2,0,0,1,4926,6,0,"ORACT 架构解密（六）：混沌工程与 Reliability Lab：给 Agent 做确定性故障注入"
package-manager-history-and-comparison,8,5,1,0,1,1,8630,1,16,"从 make install 到 /nix/store：Linux 与 macOS 包管理器三十年记账"
pi-advanced-01-rpc-sdk,8,5,2,0,0,1,5008,5,0,"无头模式与 RPC 协议：将 Pi 嵌入 IDE、Web 与 CI 流水线"
pi-advanced-02-subagents,8,5,2,0,0,1,5063,3,0,"Subagents 协作模式：用轻量进程编排多 Agent 并行开发"
pi-advanced-04-tui-markdown-cjk,8,5,2,0,0,1,4866,7.5,0,"终端渲染的深水区：流式 Markdown 语法高亮与中文字符对齐"
pi-advanced-05-kv-cache-deep,8,5,2,0,0,1,4997,4,0,"把每一分钱省到极致：KV Cache 字节级对齐与 Prompt Caching 实战"
pi-advanced-06-enterprise-evals,8,5,2,0,0,1,5482,4,0,"企业级 Agent 评测体系：基于真实 PR 的沙箱回归测试流水线"
pi-advanced-07-mini-pi-project,8,5,2,0,0,1,6335,7,0,"从零构建 Mini-Pi：一个自包含、可运行的轻量级 Agent 引擎"
pi-tutorial-01-minimal-loop,8,5,2,0,0,1,7500,5,0,"从 50 行代码到状态机：手写最小 Agent Harness"
pi-tutorial-02-streaming-tui,8,5,2,0,0,1,6400,5,0,"流式传输与差分渲染：Thinking 块、ToolCall 增量聚合与 TUI 引擎"
pi-tutorial-03-diff-edit,8,5,2,0,0,1,6208,3,0,"代码怎么改：模糊锚点匹配与 Diff-Aware 行级编辑算法"
pi-tutorial-04-compaction-budget,8,5,2,0,0,1,5570,3,0,"上下文预算与记忆压缩：KV Cache 友好的 Compaction 算法"
pi-tutorial-05-session-tree,8,5,2,0,0,1,5933,5,0,"树状持久化与崩溃自愈：JSONL 存储引擎、分支回退与残行修复"
pi-tutorial-06-provider-gateway,8,5,2,0,0,1,5611,4,0,"多供应商网关与弹性重试：统一 API、指数退避与可中断睡眠"
pi-tutorial-07-extension-system,8,5,2,0,0,1,5670,6,0,"进程内扩展与自修改闭环：生命周期钩子、权限门禁与 /reload"
pi-tutorial-08-sandbox-security,8,5,2,0,0,1,5805,5,0,"物理沙箱与生产安全：BashOperations、微虚拟机与提示词注入防御"
pi-tutorial-09-evals-telemetry,8,5,2,0,0,1,6703,5,0,"自动化评测与全链路遥测：从 SWE-Bench 到企业级 Token 记账"
redis-persistence-rdb-aof,8,5,1,0,1,1,6789,2,6,"Redis 的持久化不是备份：RDB 点备份与 AOF 重放的两张表"
service-api-shape,8,5,2,0,0,1,4422,8,2,"API 形状是合同：错误、重试与冲突必须一起定义"
service-incident-drama,8,4,2,1,0,1,3484,5,2,"一次构造事故演练：两个 Map 为什么要一起验收"
service-testing-strategy,8,4,2,1,0,1,3206,5,2,"测试值多少钱：先把并发反例写进断言"
speedtest-01-physical-essence,8,5,2,0,0,1,5056,5,0,"测速的物理本质：为什么测速不是测文件下载？"
speedtest-02-zero-copy-downlink,8,5,2,0,0,1,4491,7,0,"下行压榨万兆网卡：sendfile、splice 与高熵数据灌水"
speedtest-03-zero-alloc-uplink,8,5,2,0,0,1,4825,4,0,"上行吞吐的内存黑洞：移动端零堆分配与服务端极速 Sink"
speedtest-04-jitter-bufferbloat,8,5,2,0,0,1,4204,5,0,"抖动、时延与缓冲膨胀：RFC 3550 滤波与满载排队度量"
speedtest-06-edge-scheduling,8,5,2,0,0,1,5168,6,0,"全局测速调度：BGP Anycast、就近选路与原子容量接纳"
tls-handshake-deep-dive,8,5,2,0,0,1,6043,4,0,"TLS 握手全流程：HTTPS 那几毫秒里发生了什么"
two-phase-commit-vs-saga-outbox,8,4,1,1,1,1,3384,1,3,"2PC、SAGA、Outbox 的分歧点：崩溃后谁负责收拾"
typescript-interface-schema-zod,8,4,2,1,0,1,3648,4,2,"接口边界三合一：schema 同时负责校验、类型与错误路径"
typescript-pitfalls-for-go-backend-developers,8,5,2,0,0,1,11091,23,0,"给 Go 后端开发者的 TypeScript 语法避坑指南"
vector-index-hnsw-ivf-pq,8,5,1,0,1,1,7765,2,4,"向量检索不是算相似度：HNSW 的图、IVF 的桶与 PQ 的量化，三档召回/时延账"
virtual-memory-page-fault,8,5,2,0,0,1,6606,5,0,"虚拟内存与缺页中断：malloc 之后发生了什么"
abort-signal-tool-side-effects,9,4,2,1,1,1,3609,3,5,"cancel() 之后，工具还是把钱扣了：AbortSignal 管不到的副作用"
ai-agent-protocol-stack,9,5,2,0,1,1,9340,4,13,"不是协议之战：AI Agent 的七条接缝"
ai-backend-18-async-job-queues-temporal-webhooks,9,5,2,1,1,0,12004,8,5,"面向后端工程师的 AI 架构与工程实战（十八）：长耗时 AI 任务的异步架构设计 —— 轮询、SSE、Webhook 与持久化工作流"
ai-backend-19-pgvector-relational-engineers-guide,9,5,2,1,1,0,12011,11,4,"面向后端工程师的 AI 架构与工程实战（十九）：关系型数据库工程师的 pgvector 实战指南 —— 从 B-Tree 到 HNSW 的认知迁移"
ai-backend-20-prompt-engineering-backend-code,9,5,2,1,1,0,10558,7,5,"面向后端工程师的 AI 架构与工程实战（二十）：后端视角下的提示词工程 —— 模板引擎、注入防御与版本契约"
ai-backend-21-multi-tenant-token-metering-finops,9,5,2,1,1,0,12561,7,4,"面向后端工程师的 AI 架构与工程实战（二十一）：多租户 Token 计量、计费与软硬配额流控"
ai-backend-22-ci-cd-llm-testing-mocking-evaluation,9,5,2,1,1,0,10529,7,5,"面向后端工程师的 AI 架构与工程实战（二十二）：单元测试与 CI/CD 中的大模型 Mock 与回归评测门禁"
app-speed-test-architecture-cost,9,5,2,0,1,1,21173,16,8,"APP 测速服务端怎么设计：中国大陆的架构、资源与成本"
browser-frame-16ms-budget,9,5,2,0,1,1,4958,4,7,"一帧只有 16ms：Layout、Paint、Composite 谁在吃预算"
buffer-pool-lru-dirty-pages,9,5,2,0,1,1,5380,7,7,"Buffer Pool 不是缓存：LRU 与脏页刷盘的两条时间线"
building-a-markdown-blog,9,5,2,0,1,1,8855,7,8,"把写作还给 Markdown"
connection-pool-math-timeout,9,5,1,1,1,1,5242,2,4,"连接池的容量是算出来的：Little 定律、排队与超时的分工"
consistent-hashing-minimal-remap,9,4,2,1,1,1,3578,4,6,"一致性哈希的数学直觉：本例加一台只搬约 14.6%"
database-deadlock-wait-graph,9,5,2,0,1,1,4331,5,7,"死锁不是靠重试：wait-for graph 与间隙锁"
distributed-id-snowflake-segment,9,5,2,1,0,1,4680,3,0,"分布式 ID 不是随机数：雪花、号段与有序 UUID 的取舍"
distributed-transactions-2pc-saga,9,5,2,0,1,1,5699,4,7,"分布式事务：2PC 把悬挂交给协调器，SAGA 把补偿交给业务"
dns-ttl-negative-cache,9,5,2,0,1,1,5058,5,7,"DNS 没有立即生效，只有逐跳冷却：TTL 的三笔账"
epoll-c10k-c10m,9,4,2,1,1,1,3709,5,8,"从 C10K 到 C10M：epoll 与内核网络栈的一生"
exactly-once-message-delivery,9,5,2,0,1,1,5150,5,7,"exactly-once 先问边界：一条消息的一生"
frontend-framework-history,9,5,2,0,1,1,6686,3,14,"前端框架为什么这么乱：四代问题与解法"
fsync-group-commit,9,5,2,0,1,1,8938,7,11,"数据库为什么宁可慢，也要等你 fsync"
go-append-slice-growth,9,4,2,1,1,1,3443,3,3,"append 的扩容税：真实容量序列决定搬运与分配"
go-channel-hchan-cost,9,5,2,0,1,1,4305,3,4,"channel 的容量边界：同一条 send 从 34.91ns 走到 139.0ns"
go-context-patterns,9,5,2,0,1,1,15928,19,12,"理解 Go Context 的边界"
go-lock-cost-futex-rwlock,9,5,2,0,1,1,5299,5,6,"锁的成本是排队不是加锁：Mutex、atomic 与自旋的争用曲线"
go-nethttp-connection-reuse,9,5,1,1,1,1,7277,2,4,"http.Transport 的复用账本：默认 2 条空闲连接怎么拖慢高并发"
go-netpoll-wakeup-scheduling,9,5,1,1,1,1,6994,2,10,"阻塞在 socket 读的 goroutine 为什么不吃线程：Go netpoll 的四次交接"
go-sync-map-boundary,9,5,2,0,1,1,4800,3,3,"sync.Map 的真实边界：read 表便宜，写入与 miss 会把账单转回来"
go-timeafter-hidden-cost,9,5,2,0,1,1,4930,4,4,"time.After 的隐藏账单：248B 分配不是 Stop 能消掉的"
graceful-shutdown-in-go,9,5,2,0,1,1,15406,14,13,"SIGTERM 之后发生了什么:把优雅停机做成一件确定的事"
http-cache-control-etag,9,5,2,1,0,1,4102,5,0,"HTTP 缓存不是'快慢'问题：Cache-Control 与 304 的账本"
inside-my-markdown-blog-architecture,9,5,2,0,1,1,16639,22,8,"一个 Markdown 博客的完整生命周期：从文本到线上的全链路架构"
iot-netdev-01-architecture-blueprint-southbound-protocols,9,5,1,1,1,1,10017,1,5,"物联网与网络设备云平台架构实战（一）：平台全景蓝图与南向协议选型 —— 从 SNMP、CLI 到 NETCONF/YANG 与 gNMI"
iot-netdev-02-c10m-connection-gateway-keepalive,9,5,2,1,1,0,10416,5,3,"物联网与网络设备云平台架构实战（二）：百万级网络设备接入网关与心跳保活 —— Epoll 内存精算、NAT 穿透与防惊群重连雪崩"
iot-netdev-03-atomic-config-rollback-commit-confirmed,9,5,1,1,1,1,9199,2,5,"物联网与网络设备云平台架构实战（三）：配置下发事务与防变砖安全回滚 —— Commit-Confirmed 协议、健康探针与配置版本快照"
iot-netdev-04-streaming-telemetry-tsdb-pipeline,9,5,2,1,1,0,11217,4,5,"物联网与网络设备云平台架构实战（四）：海量网络遥测与时序分析流水线 —— gNMI 流式订阅、Kafka 动态分区与 ClickHouse 降采样架构"
iot-netdev-07-config-sync-incremental-reconciliation,9,5,2,1,1,0,12899,3,5,"物联网与网络设备云平台架构实战（七）：网络设备增量配置同步与三路归并 —— YANG 数据树差异比对、本地带外漂移检测与离线对账状态机"
iot-netdev-09-distributed-connection-cluster-session-migration,9,5,1,1,1,1,12302,1,5,"物联网与网络设备云平台架构实战（九）：千万级分布式长连接集群治理 —— 全局会话路由、SCM_RIGHTS 热升级平滑迁移与多活防雪崩网关"
iot-netdev-11-ztp-zero-touch-provisioning-dhcp-option,9,5,2,1,1,0,12831,3,4,"物联网与网络设备云平台架构实战（十一）：零配置即插即用上线（ZTP）—— 从 DHCP Option 66/67/82 到云端安全重定向全流程"
iot-netdev-12-yang-openconfig-unified-data-modeling,9,5,2,1,1,0,12930,7,4,"物联网与网络设备云平台架构实战（十二）：跨厂商网络配置建模与 YANG / OpenConfig 数据树引擎 —— 一套代码兼容华为、思科与新华三"
iot-netdev-14-intent-based-networking-batfish-validation,9,5,2,1,1,0,18455,3,5,"物联网与网络设备云平台架构实战（十四）：意图驱动网络（IBN）与配置变更静态形式化验证 —— 基于 Batfish 控制面仿真与 CI/CD 自动化门禁"
iot-netdev-15-flow-telemetry-microburst-monitoring,9,5,2,1,1,0,19168,4,5,"物联网与网络设备云平台架构实战（十五）：毫秒级流级遥测（Flow Telemetry）与微突发（Microburst）拥塞诊断 —— 基于 NetFlow / IPFIX 采样与 Kafka + ClickHouse 线速流式全景"
js-async-await-promise-timing,9,5,2,1,0,1,6207,7,0,"Promise 三态机与 async/await 的执行时序：一张图跑通所有谜题"
k8s-controller-watch-etcd,9,5,2,0,1,1,6049,4,8,"Kubernetes 控制面的莫比乌斯环：apiserver、watch 与 etcd 的增量账"
k8s-iptables-ebpf-service,9,5,1,1,1,1,8589,2,10,"Service 不是转发是线性遍历：iptables 规则链 vs eBPF O(1)"
k8s-requests-limits-cgroup,9,5,2,0,1,1,5968,4,8,"Kubernetes 的 requests 与 limits 是两本账：管调度的那本，管不了运行时"
kernel-02-ebpf-virtual-machine-verifier-jit,9,5,2,0,1,1,5178,5,3,"深入 eBPF 虚拟机内核：字节码指令集、Verifier 静态安全性验证与 JIT 编译"
llm-04-streaming-gateway-sse-backpressure,9,5,2,0,1,1,5029,3,3,"大模型长连接网关工程：SSE 流式代理、HTTP 分块传输与反压熔断"
llm-06-api-protocol-evolution,9,5,2,0,1,1,17777,18,4,"大模型 API 协议演进史：从 /v1/completions 到 Realtime 双向帧的协议下沉与架构权衡"
llm-08-llm-as-a-judge-eval-engineering,9,5,2,0,1,1,5445,3,3,"LLM-as-a-Judge 评测的科学与工程陷阱：四大系统性偏差、Kappa 一致性度量与 CI 自动化门禁"
llm-as-judge-evals,9,5,2,1,0,1,7071,4,2,"LLM-as-judge 不是免费裁判：三笔偏差税与 token 成本"
llm-continuous-batching-throughput,9,5,2,1,0,1,7336,3,0,"LLM 推理的排队税：从静态批到 continuous batching，一张 GPU 的利用率账"
llm-kv-cache-memory-budget,9,5,2,1,0,1,11232,7,0,"显存不是算力：KV cache 的字节账，40GB 里到底塞得下几个并发"
mvcc-isolation-snapshot,9,5,2,0,1,1,5253,4,7,"事务隔离不是靠锁：MVCC 的版本链与快照账本"
mysql-online-ddl-mdl-lock,9,5,2,0,1,1,8534,5,7,"ALTER 的“在线”是打折的：MDL 锁与全表重建的排队账"
mysql-optimizer-explain-cost,9,5,2,0,1,1,8093,6,9,"MySQL 为什么不走你的索引：统计信息、代价模型与 EXPLAIN 的账"
mysql-redo-undo-binlog,9,5,2,0,1,1,5082,4,9,"MySQL 的三条日志：redo、undo、binlog 各记一本账"
optimistic-vs-pessimistic-lock,9,5,2,0,1,1,6634,6,7,"乐观锁不是免费的：冲突重试税 vs FOR UPDATE 排队税"
perf-flamegraph-sampling,9,5,2,0,1,1,10597,8,12,"先采样再优化:perf 火焰图与 CPU 时间到底去哪了"
postgres-bloat-autovacuum,9,5,2,0,1,1,7575,4,8,"Postgres 的膨胀税：autovacuum 没跑的那 40% bloat 与冻结年龄"
quic-http3-connection-migration,9,5,2,0,1,1,4397,5,9,"QUIC 不是 TCP 2.0：连接迁移与 0-RTT 的代价账"
raft-consensus-term-log-replication,9,5,2,0,1,1,4318,4,7,"共识不是多数派投票：Raft 的任期与日志复制"
rate-limiting-circuit-breaker,9,5,2,1,0,1,5754,4,0,"限流、熔断与降级：高可用三件套的权衡"
redis-as-mq-consume-groups,9,5,2,0,1,1,5671,3,4,"Redis 当消息队列的账：什么场景该用它，什么场景它是坑"
replication-lag-read-paths,9,5,2,0,1,1,12902,8,12,"主从复制延迟的账单：读路径设计的三种姿势"
select-poll-epoll-deep-dive,9,5,2,0,1,1,20907,16,21,"select、poll、epoll 的本质区别：谁保存关注集合，谁交付就绪事件"
service-observability-slo,9,5,2,1,0,1,4179,4,2,"先定义 SLO，再写监控：进程内 p99 不是生产承诺"
sharding-partition-key-migration,9,5,1,1,1,1,6730,2,8,"分库分表不是扩容：分片键、跨片查询与搬家的三本账"
socket-backpressure-slow-consumer,9,5,2,0,1,1,4937,4,8,"Socket 背压：慢消费者如何盯住你的服务"
speedtest-go-deep-dive-whitepaper,9,5,2,0,1,1,28957,12,38,"测速服务如何知道你的带宽：从 IDC 网络路径到 speedtest-go 实现"
speedtest-service-architecture,9,5,1,1,1,1,7730,1,21,"你的带宽是怎么被算出来的：测速服务的节点地图与上下行架构"
sse-vs-websocket-streaming,9,5,2,0,1,1,7173,4,5,"SSE 不是 WebSocket 的廉价版：LLM 流式选型的协议账"
tcp-congestion-control-bbr,9,5,2,0,1,1,5058,7,6,"TCP 拥塞控制不是带宽开关：cwnd、队列与 BBR 的边界"
tcp-nagle-delayed-ack,9,4,2,1,1,1,3985,4,4,"Nagle 与延迟 ACK：两个省包策略为何在高 RTT 下互相等待"
time-wait-connection-reuse,9,5,2,0,1,1,5909,5,7,"TIME_WAIT 到底在保护谁"
tree-shaking-comparison-costs,9,4,2,1,1,1,3470,3,8,"Tree Shaking 的边界：CJS、sideEffects 与动态 import 不能混为一谈"
typescript-agent-production,9,4,2,1,1,1,3991,7,3,"Agent 服务化的三个边界：并发合并、幂等状态与成本单位"
typescript-agent-state-machine,9,5,2,1,0,1,5968,4,0,"Agent 循环的隐形状态债：把 if 散落的规则换成状态表"
typescript-dto-boundary,9,5,2,1,0,1,5552,7,0,"数据出口是第二道边界：DTO 与脱敏，类型不管你丢不丢得掉字段"
typescript-errors-result-throw,9,5,2,1,0,1,5360,4,0,"错误处理：throw 是长臂，Result 是管道"
typescript-llm-tool-loop,9,5,2,1,0,1,6702,9,0,"用 TypeScript 写 LLM 工具循环：类型系统如何替并发编排兜底"
typescript-streams-backpressure,9,5,2,1,0,1,4234,4,2,"背压不是语法糖：从 async generator 追到 Readable 的队列"
typescript-toolchain-rules,9,5,2,1,0,1,5465,6,0,"TS 世界的运行规则：semver、lockfile、包管理器与转译器的分工"
typescript-type-gymnastics,9,5,2,1,0,1,5843,4,0,"类型体操不是炫技：注册表、模板字面量与一次编译期的守卫"
understanding-context-switching-from-cpu-to-goroutines,9,5,2,0,1,1,15452,13,9,"从晶体管到 Go 协程：图解 Linux 上下文切换的物理本质与硬核源码"
understanding-event-loops,9,5,2,0,1,1,14562,12,17,"事件循环不是一个循环"
wal-crash-recovery,9,5,2,0,1,1,22722,15,22,"WAL 是数据库的命根子"
zero-copy-sendfile-io-uring,9,5,2,0,1,1,15209,13,15,"一次网络请求的数据被搬了几次:从 sendfile 到 io_uring 的零拷贝路线图"
clock-skew-distributed-systems,10,5,2,1,1,1,14835,10,15,"时间戳会骗人:时钟回拨与分布式系统的顺序幻觉"
go-gc-gctrace-account,10,5,2,1,1,1,5253,6,7,"Go 的 GC 不是零停顿：用 gctrace 拆开三段相位与调参边界"
go-goroutine-leak-pprof,10,5,2,1,1,1,4058,3,5,"goroutine 泄漏不是内存泄漏：一张 goroutine profile 的读法"
go-goroutine-stack-growth,10,5,2,1,1,1,4748,3,5,"goroutine 的栈为什么会搬家：2KB 起步、按需翻倍与指针修正"
go-happens-before,10,5,2,1,1,1,4790,7,6,"Go 并发里没有先来后到：happens-before 才是唯一的裁判"
go-memory-leak-pprof,10,5,2,1,1,1,4257,5,5,"Go 内存泄漏不是玄学：pprof 的堆账与三个误报"
go-scheduler-gmp-preemption,10,5,2,1,1,1,4147,4,7,"Go 调度器的三张表：P 队列、抢占与调度延迟"
go-select-selectgo-cost,10,5,2,1,1,1,4108,4,5,"select 的仲裁成本：单 case 4.187ns，8 case 193.2ns"
go-slice-subslice-hold,10,5,2,1,1,1,4186,3,4,"slice 截断不释放：底层数组还在的约 66MiB"
http2-head-of-line-blocking,10,5,2,1,1,1,4129,3,6,"HTTP/2 的队头阻塞还在：帧调度与流控的排队账"
idempotency-engineering,10,5,2,1,1,1,14408,13,11,"重试会放大错误：幂等性工程的键、状态与未知结果"
iot-netdev-05-nat-traversal-reverse-shell-tunnel,10,5,2,1,1,1,18871,6,5,"物联网与网络设备云平台架构实战（五）：穿透内网 NAT 的远程反向控制通道 —— WebSocket 多路复用、PTY 虚拟终端与审计拦截架构"
iot-netdev-08-device-shadow-desired-reported-state-machine,10,5,2,1,1,1,12542,3,5,"物联网与网络设备云平台架构实战（八）：设备影子与数字孪生内核架构 —— Desired/Reported 双态异步对账、乐观锁版本向量与离线状态补偿"
jwt-session-oauth2-revocation,10,5,2,1,1,1,7838,3,11,"Token 的吊销税：JWT、Session 与 OAuth2 的状态两难"
k8s-scheduler-resource-ledger,10,5,2,1,1,1,5469,7,5,"K8s 调度器不是找最空的机器：filter 与 score 的两轮筛选"
llm-09-mcp-stateless-core,10,5,2,1,1,1,5261,4,5,"MCP 2026-07-28 无状态核心：删掉握手和 session 之后，多轮请求去哪了"
mesi-cache-coherence-false-sharing,10,5,2,1,1,1,4394,4,7,"多核的假象：缓存一致性（MESI）与伪共享这笔税"
mini-lsm-write-amplification,10,5,2,1,1,1,8318,3,8,"造一个迷你 LSM：写放大与读放大，同一份数据的两张账"
outbox-cdc-dual-write-atomicity,10,5,2,1,1,1,8063,6,9,"双写必有一扇窗：Outbox 与 binlog CDC 的原子性取舍"
raft-linearizable-read-leases,10,5,2,1,1,1,8638,7,10,"Raft 的读也要过多数派：ReadIndex、Lease read 与 stale read 的三本账"
review-idempotent-pr-concurrency,10,5,2,1,1,1,4507,5,3,"评审幂等 PR：先让 100 个相同请求同时到达"
seckill-inventory-atomic-gates,10,5,2,1,1,1,7380,6,4,"秒杀不是削峰：库存扣减的原子账与三层闸门"
service-ci-cd,10,5,2,1,1,1,4501,6,3,"一条 commit 先到 CI：绿灯不是部署证据"
service-design-adr,10,5,2,1,1,1,4272,3,4,"第一行代码之前：先定义选型问题，再写 ADR"
tcp-retransmit-timeout-rto,10,5,2,1,1,1,4266,4,9,"TCP 超时与重传：丢包后网络在赌什么"
tcp-syn-queue-backlog,10,5,2,1,1,1,5014,6,6,"TCP 握手也要排队：SYN 队列与 accept 队列的两道闸"
typescript-event-loop-vs-gmp,10,5,2,1,1,1,4506,7,4,"Go 的 goroutine 和 Node 的事件循环：先把两种等待分开"
